,listing_id,id,date,reviewer_id,reviewer_name,comments,sentence,sentiment
17416,1618842,54094347,2015-11-16,25717040,Rachel,"So private, so comfortable! I love staying at Julie & Jeff's. The kitchenette is well-equipped, fluffy white robes and towels are provided (love!) and the bed is curtained to feel cozy and secure. The studio has plenty of lighting, room to settle in if you're staying for a number of days and parking is a breeze. You're close to Seattle, but it's quiet at night in this mixed residential/industrial neighborhood. ",The studio has plenty of lighting room to settle in if youre staying for a number of days and parking is a breeze,1
1049,931758,24576622,2014-12-30,24601911,Jenny,This was a last minute booking for a quick overnight trip to Seattle during the Holidays.  The overall process was easy and the unit lived up to it's description.  The photos should probably be updated only because the Space Needle is no longer visible from the property due to Amazon building a new building adjacent to the building.  Everything else was as described.  Thanks for a great stay!,Thanks for a great stay,1
52606,1815472,10507494,2014-02-22,5175012,Lena,"Darcy has flexible check-in and check-out times, which was great and worked amazingly with my hectic schedule. Great central location and easy to access public transportation as well as the train station, but also located on top of a bar and club - the club is very very noisy and you can hear noise from the street very easily so slight warning for those who cannot fall asleep well or wake easily.

Small room in an old building but had all the necessities and had a comfortable one-night stay. Very reasonable, especially when comparing to hotels in the area who seemed to offer way worse accommodations for a much higher asking price! If I need a place to crash in Seattle again, I would definitely come back!",Very reasonable especially when comparing to hotels in the area who seemed to offer way worse accommodations for a much higher asking price If I need a place to crash in Seattle again I would definitely come back,1
7440,421168,20633030,2014-10-02,21826373,Patrick,"Samantha and Peter have a great setup.  The studio was an excellent rental experience.  It was clean, quiet, and provided a fantastic sense of privacy.  The directions provided in the studio are direct and easy to follow.   I would definitely stay here again.",The studio was an excellent rental experience,1
68830,63308,5226462,2013-06-19,5658707,Joel,John's place was amazing.  They were friendly and the place was in a perfect walking distance of everything.  The studio was clean and the bed was comfortable.  I would recommend this place to anyone.,Johns place was amazing,1
39281,1256892,15974740,2014-07-19,17162404,Andrea,"Laurie was a great host.  The space was very clean and inviting.  She checked in with us to make sure we had everything we needed.  Thanks to her preparation, we were not wanting for anything. I would say that the space was actually nicer than pictured.  ",She checked in with us to make sure we had everything we needed,1
40652,486829,6312988,2013-08-07,8942517,Sj,"Lisa's place was everything we could have wanted and more. She's the perfect host - is kind, welcoming and available - but just let's you get on with it. She's thought of everything a guest could need, going above and beyond with little things left in the room. Her place is easy to park at, and literally 5 seconds from the awesome bike trail that whizzes you to East to West across Seattle, and easily connects with going downtown. The bed is extremely comfortable and all rooms are neat, clean and tastefully decorated in cool, calm colours. Thank you very much Lisa! It was great to meet you and kick-start our trip. ",Shes thought of everything a guest could need going above and beyond with little things left in the room,1
27022,3821663,45304038,2015-09-01,41089553,Ben,"Before booking this apartment, allow me to share the good and the bad aspects of this rental unit.

First, the good. The apartment was a clean and tidy and pretty much as described. The bed was comfy and clean. We had no issues checking in, getting the key and felt warmly welcomed.

So far, so good.

Now, the not so good. For someone not familiar with the city of Seattle, it's hard to know prior to booking what the neighbourhood will be like. In this case, we were in for a real disappointment. Directly across the street from the second floor apartment is Pioneer Square, which at night turns into a hangout for drunks, drug addicts, and homeless people. With the sounds of fighting, bottles smashing, and yelling all night long, it becomes hard to get any sleep.

If you want somewhere peaceful to spend the night in Seattle, this is not the place. Be warned.",If you want somewhere peaceful to spend the night in Seattle this is not the place,-1
39836,5056580,54946113,2015-11-25,33604195,Michael,"Eric made us incredibly welcome. We have done a lot of Air BNB's in Seattle but he was definitely one of our greatest highlights. Communication was super solid and we arrived late, but luckily he had a great entry system that allowed us to get in without bothering anyone. The place is AMAZINGLY GORGEOUS. THE PICTURES DO NOT DO IT JUSTICE! You must arrive for yourself to see the condo-like decor accented with the beauty and art of Thailand and South East Asia. It is one of a kind. You can TELL the level of care and detail into every small thing in the place. I challenge you to find all the small bits and pieces personally accented by Eric. You will be teleported to Thailand in his pad. 

Also he has EVERYTHING you need. It was cold when we were in Seattle but there's a heater in every room. The bathroom is incredible and the bed was a dream to sleep on. The ease of access made going in and out very simple. We even have our parking spot (But watch out it is a bit narrow).

We loved talking with Eric and sharing great conversation. We can't wait to stay again with our new friend Eric :) I highly recommend for couples or one individual! Also, comfy sofa that can turn into a bed in the living room!",It was cold when we were in Seattle but theres a heater in every room,1
40240,909102,13216177,2014-05-22,9987950,Kenneth,"The listing was great and the host was great.  The location is very convenient.  Frank is very generous about making his space--all 3 floors--available.  The property itself is gorgeous, expensive, and well-maintained.

It was our first Airbnb experience and we leaned heavily on past reviews, which proved to be right on the money!",It was our first Airbnb experience and we leaned heavily on past reviews which proved to be right on the money,1
3031,741699,14777408,2014-06-26,1886897,Toni & Natalie,"Matt had a great place to stay while visiting Seattle! He was easy to coordinate and communicate with throughout our entire stay. The home is clean, location is great, and had many amenities. He even provided treats, toys and bowls for our dog. Thanks for a great stay Matt, we'll definitely be back for future visits. ",The home is clean location is great and had many amenities,1
43593,4190771,44803465,2015-08-29,39290118,Dibash,"The place spectacular. The view was amazing. The rooms were all clean. Furniture were modern. Overall the experience was spectacular. I loved the environment as well. Many tourist attractions walking distance, allowed us to skip on car rental as it was not necessary. The only improvement I would like to see in the future is for the apartment to have good wifi coverage through the rooms. Currently from my experience, the wifi signal was very weak into master bedroom. Furthermore, I did see some lag when multiple people were utilizing the wifi. Being a techy, that was important to me. For the most part this place was gorgeous and I would recommended future visitors to stay here. ",The only improvement I would like to see in the future is for the apartment to have good wifi coverage through the rooms,-1
32675,904057,15171905,2014-07-04,12255079,Janis,"Errin's Mini-Home was wonderful and we loved staying there. It was very clean, well equipped, nicely decorated and located in a nice and safe-feeling neighborhood that had a good bus connection to the city centre of Seattle. Mini-Home is also in a walking distance from the center of Ballard which is also a really nice and lively place. Errin was very welcoming and friendly person. We really recommend this place and would ourselves go back if we one day return to Seattle. ",We really recommend this place and would ourselves go back if we one day return to Seattle,1
30225,25002,45239169,2015-09-01,7105835,Ophélie & Sébastien,"Logement spacieux, propre, amanda vous accueille chaleureusement avec des gâteaux maison délicieux. Accessibilité du centre de seattle rapide, il faut prendre un bus a 5 minutes. ",Accessibilité du centre de seattle rapide il faut prendre un bus a 5 minutes,0
68273,1602488,16906948,2014-08-04,7230095,Lael,"Terrific accommodations and experience at Sara and Carsten's house!  Beds were comfortable, bathroom nice.  Emma the collie unbelievably sweet and welcoming. Great location!  We will stay here if we visit Seattle again!",Emma the collie unbelievably sweet and welcoming,1
74473,3394936,36278453,2015-06-27,32057996,Justin,"Rebecca and Doug were very nice and easily accessible for any needs. I arrived early and Doug was able to come right over and meet us. Fantastic. The appt is small and nice. Everything you need is there. I searched for accommodations for 4 people (2 parents, 1 adult daughter, 1 mostly adult son). This property is a bit too cozy for that many people. For one couple, fantastic. One couple and one other person who can sleep on a sleeper-sofa, awesome. But by the time the sleeper sofa was open, we had one of the kids sleeping practically on the kitchen floor.  If you meet the ideal group size, this is a perfect little appt to stay. 

Location location location. It does not get better than this. We did not get in our car once after we parked it the fist day. Convention?  You are literally right across the street from the center.  Here to see downtown attractions?  You are downtown. Restaurants?  Go up the hill on pike street and take your pick.  

Tips: 
1. Small. Don't go thinking you can cram extra people in here. 
2. Parking is an extra cost above what you paid through airbnb. It is reasonable and safe. 
3. If you do drive it is super easy to find and get to.  ",If you do drive it is super easy to find and get to,1
1591,208356,787531,2011-12-15,341922,Ernie,"
Dirk was personable and helpful in orienting us to the building.  Good place for our short stay at a reasonable cost.  It was convenient for us as we had an early train to catch and their rental is just three blocks away from the station.  We did not have the opportunity to try them but there are several Japanese restaurants within a block.   
The ladder to the sleeping loft works for guests with good balance and agility (especially so in the middle of the night).  Shared bath is down the hall as is the kitchen.  The bed was comfortable and everything was clean.  The building was secure.  I would recommend their place.",I would recommend their place,1
25801,3333971,18180576,2014-08-23,17981358,Margaret,"We really enjoyed our stay here at the Pioneer Square historic studio apartment.  We took Amtrak from Portland to Seattle and were pleased that we could walk the four short blocks from the train station to our room.   There was a slight delay in finding the person who could get us our key, but it wasn't a major inconvenience.  The room was clean, good size and had everything we needed.  No noise problem with the bar below, but we there only during weekdays.  Very convenient to the bus stop across the street in Pioneer Square.  Even the two flights of stairs up to our room was manageable, even when I had just had knee surgery a month earlier.  Only negative was the difficulty in getting reliable internet service -- buy maybe that can be fixed.  Overall -- a great stay!  We even could walk to the light rail station two blocks away to catch the local train to the airport for the next stop on our vacation.",Only negative was the difficulty in getting reliable internet service  buy maybe that can be fixed,-1
27032,3821663,49233355,2015-10-02,25639967,俐桦,The apartment itself is great. The location is (website hidden) just 1km far to the Pike Market.But there are so many homeless around the building.And my husband lost his wallet in the street .Maybe it was stolen.,But there are so many homeless around the building,-1
41770,3676779,44821520,2015-08-29,33261894,Rabee,"The place is anything anyone could ask for; the pictures don't do it justice! It was spectacular to stay in. The neighbourhood is very quiet, it's less than a 15-minute drive to anywhere, including the airport. The rooms are very spacious and the kitchen had a bunch of snacks that Mardi set for us. She was always available for any questions or concerns, and provided us with two keys and a parking permit. The place was a $10 Uber ride from tourist attractions like Beacon Hill, Capitol Hill, Space Needle & the Seattle Great Wheel, as well as Pike Place & the Waterfront. I recommend this place to anyone wanting a calm, enjoyable, accessible stay in Seattle. It's perfect for couples & very family-friendly as well. Definitely staying here next time I'm in town!",The neighbourhood is very quiet its less than a 15minute drive to anywhere including the airport,1
77018,2692126,18316586,2014-08-25,1250819,Rebecca,"We had a great stay with Kelly! Her place was immaculately clean, wifi was good, shower was fantastic, and the bed was comfy. I appreciated the little touches Kelly added to make our stay extra nice. Access to her laundry room was a plus, too. The neighborhood is charming and well located for exploring Queen Anne, Belltown, and downtown on foot. Would stay here again!",We had a great stay with Kelly Her place was immaculately clean wifi was good shower was fantastic and the bed was comfy,1
50852,175576,458724,2011-08-19,850631,Mary,"I loved my stay in this charming and comfortable one bedroom apartment.   SO much better than staying in an unmemorable hotel.   It is located in a charming victorian style home in a great older neighborhood called Queen Anne.  The location is so convenient to downtown Seattle that I actually walked to all the sights. Many interesting shops and restaurants just a couple of blocks away, even my old standby Trader Joes.   Ray and Eileen are really neat people and were so attentive to making my stay comfortable....even left a basket of snacks, coffee/tea and a glass of OJ and milk in the fridge as a welcome.    The apartment has a private entrance and is nicely furnished (including antiques) and has everything you need including full kitchen, a great big dining area, living room, cable tv, bedroom, bathroom with shower.  Bed so comfortable and place so quiet I slept like a rock.  Fast wireless internet and even an eliptical if so inclined.  Washer/dryer available for use.   Will be my first choice next time I'm in Seattle.  Don't hesitate to book this place, you won't regret!  Thanks again, Ray and Eileen.",Dont hesitate to book this place you wont regret  Thanks again Ray and Eileen,1
5287,6577295,51305330,2015-10-19,43225847,Stephanie,"my experience was good. Our hosts were friendly, helpful, and accommodating. We didn't spend much time there, as we were out and about in the city, but we enjoyed our time there.",my experience was good,1
73886,789966,30815739,2015-04-27,8676265,Daphne & Sevana,Winnie's darling apartment was the perfect location for a visit with nearby family. Instructions were clear and communication was great. The bed was so comfy and the black out curtains were a nice option as the bedroom is flooded with great light. We really enjoyed our short stay!,The bed was so comfy and the black out curtains were a nice option as the bedroom is flooded with great light,1
25559,835149,7177920,2013-09-09,8422416,Stefanie,"Alexia is a very nice host. She is very helpful and provide me a lot of information of Seattle. And the apartment is very clean, I got great time when studying her place.",Alexia is a very nice host,1
25752,835149,44473506,2015-08-26,9543905,Rachel,"The room is as pictured, neighborhood charming. Overall stay was fine. But I must be honest. As a conflict resolution and communications coach (teaching adults in business), I choose these words with care: 

Alexia seemed to be suffering what a friend (another airbnb host, here in San Fran) called ""guest fatigue."" When I arrived for 4-5 min to put to put my small bag in the room and leave again, Alexia did a full throated rant of past guests who have frustrated and angered her. I literally wanted to scurry away from her and not return to her place until much later. Quite a contrast to my other airbnb hosts (in other US cities, and 4 countries of Europe) who've been gracious, relaxed, mellow, downright friendly or pleasant in greeting me. 

She told me of guests who do not respect her time, who take advantage of her being 'flexible' on check in time. Mind you I had just met her, a brand new person, a brand new guest and stranger. How angry and upset she sounded was startling. I tried using sympathy and doing active listening: say to her, ""you sound upset and angry right now."" ... ""It sounds like some guests been very frustrating for you."" It didn't seem to calm her insense and upset. Her rant continued for the full 5 min I was there. I was shocked at being greeted this way by a host. 

On my way out, when she said to lock the top bolt on the front door, I warmly assured her that I would do that. She said to me, anger in her voice, ""Oh, I've had guests looking me right in the eye and say the same thing and then they didn't lock the door. Then I come home at night and find a stranger in my bathroom.""  

I understand from my host friends here in San Francisco my hometown that occassionally guests can be nutty or frustrating. AND, a host should NOT be venting about that to a brand new guest. 1 comment might be fine--but not a full 5 min of full throated venting. They need to find the appropriate people (friends, etc) to express their anger to. NOT inflict it on a brand new guest and perfect stranger who's demonstrated friendly, warm, respectful communication and behavior.

I didn't return til 8 at night, relucant to do so even that early. I then left at 7:30 a.m., eager to get away from a host who seemed so displeased with hosting. I trust Alexia will figure out how to come to a more positive manner when greeting new guests. It was startling and offputting to be met with a host who is so angry at her past guests and venting it to me without realizing that is not appropriate to do.

",How angry and upset she sounded was startling,-1
6757,6773472,47055719,2015-09-15,17882920,Nick,Jarad's apartment was a great way to have our own space in downtown Seattle without spending a fortune. All the popular tourist activities are within a walkable distance ( 1 mile) but you should be aware that the building is at the top of a pretty big hill so walking back from the water can take a while. There's a hotel next door which serves as an easy reference point when getting rides. You can always get a cab from there but we used Lyft instead which worked great. The building is centrally located within Seattle though it's more of a business area so there aren't many bars/restaurants close by like there are in say Belltown. Light rail to the airport stops about a 10 min walk away at Pioneer Square and works very well.  The apartment itself was clean and the bed was very comfortable and Jarad was a pleasure to deal with :),The building is centrally located within Seattle though its more of a business area so there arent many barsrestaurants close by like there are in say Belltown,1
78737,637710,5169435,2013-06-16,6779004,Emily,"We enjoyed our stay at Farhad's house.  When we arrived, we were a little surprised at the fact that the stairs are as steep as they are and there are no banisters.  The fact we have small children, this was a worry.

  The house was comfortable and clean.  Not the easiest location to find as it is in a business neighborhood.",The fact we have small children this was a worry,-1
62484,208670,9957981,2014-01-21,4679273,Peter,"Good location, but the apartment was not very clean. Lots of old food left in the refrigerator, and it was clear the sheets had not been washed. Easy process, but seemed as though it hadn't been cleaned since the last guest!",Lots of old food left in the refrigerator and it was clear the sheets had not been washed,-1
2767,4279578,22046490,2014-10-28,2515303,Erika,"My dad stayed in this beautiful little place while he was visiting me from out of state, and he absolutely loved it. He couldn't say enough about how warm and cozy it is, how incredible the location is, how helpful Donna was, and how he cannot wait to return for another stay. Regarding my own interactions with Donna (I booked it for my dad), she went out of her way to make everything perfect and comfortable for him...I absolutely recommend this awesome deal to anyone looking for an incredible location near the lake, a wonderful host, and adorable accommodations. ",Regarding my own interactions with Donna I booked it for my dad she went out of her way to make everything perfect and comfortable for him,1
35228,3554558,36003217,2015-06-24,12024105,Janet,Listing was very accurate.  Jacqueline was a great host.  Was easy to get a hold of when we needed something.  Apartment was very comfortable.  Kitchen was awesome!,Apartment was very comfortable,1
57557,1494828,14728678,2014-06-25,2923049,Johanna,"William was really helpful and nice host! The apartment was super clean and nicely furnished. Me, my husband and my friends enjoyed our stay and slept well. Would definitely stay here again!",William was really helpful and nice host The apartment was super clean and nicely furnished,1
52375,1348777,6774889,2013-08-24,8333656,Raul,"My background is that I came to Seattle to work at Westlake and I wanted an apartment in Capitol Hill.  When I arrived, I stayed in hotels far away from Capitol Hill and Westlake.   At the time, I was not able to reach the appointments to view apartments in Capitol Hill quickly.  When I arrived at the appointment, an application had already been submitted.  I felt disappointed because even though, I was putting a lot of time apartment hunting, I was not getting any results. 

Then I recognized that in order to be successful, I needed to be the fastest to submit my application, and to be the fastest I needed to be in Capitol Hill. So, I registered and signed up for Airbnb and I sent out a requests and I got positive response from Andrew.  

Andrew was superb host, he reached out to me make sure I was on my way.   Andrew provides an exemplary Airbnb experience, one of the options he has is an air mattress.   Andrew, invited me to see a movie, watch TV or play video games, which I opted out, and then the small chat with his room mate went on to a full memorable conversation.  Later Andrew's roommate offered to show me the amazing view from the roof.    It was dark so the view was missing the mountains but the the lights on the  buildings look incredibly bright and colorful. 

Andrew and his roommate are exceptional at hosting.    They are young, energetic, interesting, smart, knowledgeable, friendly, caring, athletic, fun and professional hosts.     I did not notice anything out of place, they were prepared to host.   They were helpful, they asked if I was comfortable, and even helped me with my next AirBnB move.  When I arrived I was tired and feeling disappointed because of my lack of success at finding an apartment, but the stay with them re-charged me.   For a first Airbnb experience this was excellent.",Then I recognized that in order to be successful I needed to be the fastest to submit my application and to be the fastest I needed to be in Capitol Hill,1
71168,3449059,38197006,2015-07-13,10974854,Everett,"A very interesting location above a landmark pub. Lots of pan handlers from the park across the street. Close to everything. Updated appliances, easy checking in and out,  secure building.",Close to everything,1
50877,175576,1230378,2012-05-05,1846376,Chieko,"Very cozy, quiet suite in a great location. Easy access to everything we wanted. We were welcomed with a quick rundown of the area and the suite. Ray made himself available to answer our questions and was very helpful in letting us know about how to get places or to recommend restaurants, etc. We would check to see if Ray and Eileen first before we stayed anywhere else in Seattle in the future.",Ray made himself available to answer our questions and was very helpful in letting us know about how to get places or to recommend restaurants etc,1
9474,9294683,54495157,2015-11-20,28230940,Aj,"AMAZING!!!
This is probably the best place to stay in downtown Seattle. Very clean apartment with a great shower. The location could not be better! Endless amount of restaurants to walk to. We walked to the Space Needle and stop at 3 different restaurants along the way. The Pikes Place Market is right next door. And the rooftop has the same view as the 5 Star - Four Seasons Luxury Hotel!",We walked to the Space Needle and stop at 3 different restaurants along the way,1
2359,4316910,50790281,2015-10-14,24746225,Martha,"This was a nice place, matched the listing and was very clean. It is quite small but it has everything you need (microwave, bathroom, etc).  My only issue was with the wifi. I specifically chose a place with wifi as I had to check in with work while I was out of the office in Seattle. If I didn't need wifi, I may have chosen a different place. The network name wasn't included on the sheet with the password, and it took the host 9 hours to get back to me as to which network it was. Then, the password didn't work. So finally, seven hours after that, the host came to the apartment, and upon seeing the info sheet, said that the wrong password was on the info sheet. So overall, I ended up having to use phone data (which was costly because I was in a different country) for most of my stay because they put insufficient/incorrect information on the sheet. Again, this is not a big deal if you don't need wifi, but I specifically chose a place with that amenity and for one amenity not to be included because of human error (and to cost me extra cash) was not really up to standards for me. Otherwise, it was a nice place, clean, and close to downtown.",The network name wasnt included on the sheet with the password and it took the host 9 hours to get back to me as to which network it was,-1
6982,227636,2179053,2012-09-03,969238,Alison,"The large Ballard/Freemont apartment was a perfect way to ease back into the City after a couple days of camping on the Olympic Peninsula.  I didn't get a chance to meet Mike and Jean Louise (they were off camping too) but they reached out a week in advance with all the details, and left a lovely note, restaurant/activity recommendations, and some local treats (fresh eggs and blueberries) for me in the apartment.  And the apartment is adorable, with lots of space, pretty decorations, and loads of fresh-cut flowers.  It was so welcoming!  It has a great kitchen area, super comfy bed, wi-fi, a nice, clean bathroom (with lots of shampoo/conditioner), ample street parking and laundry to boot!  It was my first experience using Air B'n'B and I couldn't have had a better one!",It was so welcoming  It has a great kitchen area super comfy bed wifi a nice clean bathroom with lots of shampooconditioner ample street parking and laundry to boot  It was my first experience using Air BnB and I couldnt have had a better one,1
51594,3994634,32645029,2015-05-19,17598424,Felipe,"Although I didn't have the opportunity to meet the host, I had been in contact with Liah (responsible for the house back in time) who gave me all instructions and support I needed.

The other guys in the house were amazing, They offered me food, talking and instructions about the city.

The house is big and next to Seattle Downtown ",The other guys in the house were amazing They offered me food talking and instructions about the city,1
27623,6528192,54338859,2015-11-18,5792592,Andersen,"Had a fantastic time staying at Jennifer's Cozy Attic Apartment. Her cats are wonderful, curious, and friendly. The location is great and close to some small boutique coffeeshops, if that's your thing, and also a trader joe's. I really love Seattle and had a cozy stay here. Definitely recommend.",The location is great and close to some small boutique coffeeshops if thats your thing and also a trader joes,1
785,6939472,42420439,2015-08-13,15335662,Summer,"The place was very clean and neat which I like a lot. Julian and his wife were helpful for directions, etc. Overall, I had a pleasant stay there.",The place was very clean and neat which I like a lot,1
39206,4218733,36659725,2015-06-30,407245,Stephen,"Incredible neighborhood: beautiful homes and gardens on every street, just a few blocks from some great cafes and restaurants. Really accessible to downtown. 

Apartment was comfortable for a group of four sharing one main bed and one pullout. Clean and comfortable. Henry was very accommodating, including shipping back a bag we left behind promptly and courteously! Thanks for our first great stay in Seattle!!",Incredible neighborhood beautiful homes and gardens on every street just a few blocks from some great cafes and restaurants,1
6785,699596,4007179,2013-04-02,5308424,Venus,They were so nice and we love staying here! They even left us food for breakfast and coffee so we were able to have a nice breakfast before heading out for the day! The location was perfect because you could access anywhere very easily. We would definitely stay here again!!,We would definitely stay here again,1
41118,7931111,55133513,2015-11-28,1204221,Antonella,"My husband and I had a great time at Nikki's place. The apartment is quiet and homey, the bed was comfortable, and the Wifi very fast. The apartment has a full kitchen that we used several times, and the entire place was very comfortable. I enjoyed running on the Burke-Gilman trail, which is just a block for Nikki's place.
Nikki is a fantastic host: she was helpful and welcoming, and she is an interesting and adventurous person.
I definitely recommend Nikki's place and I would  stay there again.",I enjoyed running on the BurkeGilman trail which is just a block for Nikkis place,1
6592,2441908,52089240,2015-10-26,20766395,Greg,My wife and I loved the Cozy Ballard Cottage. A great weekend retreat in a very quiet neighborhood that's within easy walking distance to a wide diversity of eating and drinking establishments. Kelly was very welcoming and the accommodations were exactly as advertised. All the comforts of home in a very compact and private setting. We'll be back!,Kelly was very welcoming and the accommodations were exactly as advertised,1
14537,6278680,39115707,2015-07-20,38496897,Lc,"This was my first experience with airBnB and it couldn't have been more perfect. The cabin is located in a nice, quite residential area. Beautifully furnished & comfortable. It even has a little private yard! Kitchen was well stocked with necessities & even some lovely snacks! Cable TV, great wifi connection. Directions clearly laid out for both. Ample parking right next to cabin is an added bonus. Easy drive to everywhere, but away from the hustle & bustle of the city which adds to the peacefulness of the place. SO much nicer than a hotel. Gina is an A-1 hostess and stayed in constant contact so that nothing was left to chance. Not only would I not hesitate to book this cabin again, I would actually be more likely to visit Seattle knowing this charming place exists! I can't recommend this place highly enough!! 5+ Stars! ☆☆☆☆☆+ ",Easy drive to everywhere but away from the hustle  bustle of the city which adds to the peacefulness of the place,1
44185,746380,3415754,2013-01-26,2448974,Stephanie,"I can't say enough wonderful things about David and his place.  You won't find a better place or host.  The home is beautiful, quiet and easy to get to downtown.  Thank you David! ",The home is beautiful quiet and easy to get to downtown,1
36281,3678718,27958990,2015-03-15,16479026,Mary,"We had a good experience staying at Odd Lodging. I briefly met our host but primarily communicated with her through text messages. She quickly responded to my questions and requests. We were very happy with both her hospitality and sense to respect our privacy. 

The room itself was cute. It is tucked away in the back alley behind a store front, and is just below ground level (there are windows that are at ground level). Everything was clean when we arrived and the space had a nice, homey feel. 

Ballard was a nice neighborhood to stay in. There are many bars are restaurants on the main street, and the Odd Lodging is only about 5 minutes away from a bus stop that will take you right downtown (to most tourist spots). We happened to have a car, but you could easily get around the city without one.

The only downside of our stay at the Odd Lodging was that the actual lodge hosted a party above the room we were staying one night. Our host advised us of the party before we arrived, and we didn't think it would be a problem since we were planning to go bar-hopping that night anyways. Unfortunately, by boyfriend came down with the stomach flu that afternoon so we were stuck listening to loud music and shaking floors until well past midnight. I don't blame our host for this bad experience at all...she definitely gave us fair warning of the party. However,  anyone looking to stay here should be aware that this may not be the best place for peace and quiet. ",It is tucked away in the back alley behind a store front and is just below ground level there are windows that are at ground level,-1
58665,4760968,39766567,2015-07-26,17636791,Michael,"We felt at home from the very first moment. Dan and Laura are a lovely couple delightful to talk with. The room is spacious with a nice view and a very comfy bed. We were allowed to use the kitchen and living room, too. The neighbourhood offers some nice restaurants and coffee bars. Downtown can be reached easily by public transport. We can highly recommend to stay with Dan and Laura. Thank you!",The room is spacious with a nice view and a very comfy bed,1
25627,835149,15610739,2014-07-12,17225796,Eduardo,"The room is just as described, located at a house in wonderful Capitol Hill neighborhood. Easy access to shops and restaurants and walking distance from Volunteer Park. If you are into art, check out the Asian Art Museum. Bathroom was clean and spacious. Alexia was a great hostess. ",Bathroom was clean and spacious,1
79249,7748349,46035828,2015-09-07,42327406,Ryan,"Neil was a great host! The room in North Seattle is close to public transit and you can get into the city fast. Neil was very accommodating, the room and bathroom was clean, the vibe was good. As a first airbnb user, I could not think of a better experience. I would definitely recommend Neil and this property for someone looking to have a nice time in Seattle.",As a first airbnb user I could not think of a better experience,1
24196,4752817,26325032,2015-02-09,5727299,Priscilla,Connie's apartment is very clean.The location is also very convenient and central. It was perfect for my party of four. Connie was very easy to reach and she helped make our stay as comfortable as possible. I would definitely recommend this place to others.,Connie was very easy to reach and she helped make our stay as comfortable as possible,1
63572,2525172,56289752,2015-12-11,6460687,Michael,"My stay at The Hermitage was really nice. I did not meet with Jeanette & Ned (I arrived late and did not want to bother them) but everything was very nicely setup and I felt very welcome.

The room is very nice and very quiet. The bed was very comfortable. These two elements from someone sensitive to noise and prone to back problems are two very big plusses.

The location was great. Right next to the Fremont Marina with a nice running/biking path which was really nice for my morning run.
I definitely recommend The Hermitage for anyone visiting Seattle.",My stay at The Hermitage was really nice,1
4465,2762241,34485541,2015-06-08,5829132,Emily,"I couldn't have asked for a better first Airbnb experience!  I was visiting family, who lived nearby, which made the location ideally perfect.  The neighborhood is simply stunning!  Upon my arrival, a dry erase board with the message 'Welcome Emily' made me feel completely at ease and excited for my stay.  The apartment was extremely spacious, clean, tastefully decorated, and private.  Sound does carry but it's not overwhelming.
My hosts checked in with me after my first night to make sure everything was good and if I needed anything, which was comforting.  
With the exception of having to walk up a very steep hill, all in all, my stay was super easy and met my needs entirely. ",The apartment was extremely spacious clean tastefully decorated and private,1
32467,4863369,50387480,2015-10-11,33165606,Sabina,"My husband and I stayed at the Columbia City Urban Farm, Ed and Gretchen's 'Down Wing Farm' the weekend of October 9th & 10th, check in Friday check out Sunday. The room and amenities were exactly as advertised. We had a lovely time and enjoyed our stay.

With regard to ceiling height: This is a basement unit and as Ed mentions in the posting the ceiling is lower than normal. The place might not be fit for a basketball player but my husband is kinda tall, at 6'-1"", and did not have any problems. He never hit his head, the lowest point in the space is the ductwork (which is shown in the photos). So it really wasn't/shouldn't be a concern for most people.

With regard to noise: As advertised, you can hear footsteps and dog paws tapping on the wood floor above. Since it is advertised, we expected this and as such it was not a problem for us. We were gone for most of Saturday (spent our time in Seattle + went to dinner + theater) and when we returned to sleep the house was quiet. Both Saturday morning and Sunday morning we awoke (8am-ish) before we heard people & dogs stirring upstairs - so again, the noise was not a concern for us. With that said, if you plan on sleeping late or going to bed early, this might not be the place for you. However, Ed and Gretchen were both very friendly and accommodating so if you have concerns, or an early plane to catch, they probably could help you out.

Privacy: We typically stay in hotels, where we don't have to worry about other occupants. We chose this place because it advertised a private entrance. True to the advertising, the room has a private entrance and a private bath. You enter the room by first going through a 'foyer' area with a washer & dryer and a table where they keep water & tea etc for you/guests. I don't imagine that they use the W/D when the room is occupied, so it is my guess that guests have complete privacy during their stay.

Amenities: We used the outdoor shower twice during our stay. I absolutely loved it and now would like one of my own! Their gardens are luscious, even in October (I would love to see what the place is like during summer)..... I would have enjoyed 'petting' the chickens if we had time to spare.

Location: We had thought that we could walk to Columbia City & the light rail. However, with the rain, the distance was a little farther than we wanted. We gave it an attempt, but even with an umbrella we were soaked after only a block and ended up driving. On a dry day the walk would have been lovely.

The bed was amazing.... We wish we could have stayed longer and would recommend Down Wing Farm.

",Both Saturday morning and Sunday morning we awoke 8amish before we heard people  dogs stirring upstairs  so again the noise was not a concern for us,-1
19055,2039149,26208952,2015-02-07,4957999,Sunshine,Everything was just as described. The place was clean and comfortable. It was a very convenient location for us near some local restaurants and coffee bars. It was great that our group could stay together in one house.,It was great that our group could stay together in one house,1
24150,319768,9419492,2013-12-28,44631,Bradford,"What a COOL place! Jen was kind enough to let us stay here while we were in town for the week for xmas. We've always wanted to live in a modern home in Seattle and we had our chance! Great location, super neat architecture, good amenities (GOOD ESPRESSO MACHINE!). Will definitely stay again. ",Weve always wanted to live in a modern home in Seattle and we had our chance Great location super neat architecture good amenities GOOD ESPRESSO MACHINE,1
